nom;departement;population;
Bussy-Saint-Georges;77;27 299;
Chelles;77;54 682;
Meaux;77;56 249;
Melun;77;41 183;
Pontault-Combault;77;38 587;
Savigny-le-Temple;77;30 352;
Villeparisis;77;26 507;
Chatou;78;31 653;
Le Chesnay;78;28 558;
Conflans-Sainte-Honorine;78;36 058;
Élancourt;78;25 829;
Guyancourt;78;28 839;
Houilles;78;32 064;
Mantes-la-Jolie;78;44 231;
Montigny-le-Bretonneux;78;33 535;
Les Mureaux;78;32 777;
Plaisir;78;32 128;
Poissy;78;37 524;
Rambouillet;78;26 781;
Saint-Germain-en-Laye;78;41 749;
Sartrouville;78;53 237;
Trappes;78;32 931;
Versailles;78;87 315;
Niort;79;61 044;
Amiens;80;136 998;
Albi;81;51 151;
Castres;81;42 923;
Montauban;82;61 978;
Draguignan;83;40 928;
Fréjus;83;54 023;
La Garde;83;25 645;
Hyères;83;56 799;
Saint-Raphaël;83;35 826;
La Seyne-sur-Mer;83;65 386;
Six-Fours-les-Plages;83;33 904;
Toulon;83;171 643;
Avignon;84;94 200;
Carpentras;84;29 498;
Cavaillon;84;26 985;
Orange;84;29 856;
La Roche-sur-Yon;85;56 991;
Châtellerault;86;32 887;
Poitiers;86;90 590;
Limoges;87;135 140;
Épinal;88;33 454;
Auxerre;89;36 804;
Sens;89;26 688;
Belfort;90;49 926;
Athis-Mons;91;34 065;
Brétigny-sur-Orge;91;26 702;
Brunoy;91;26 520;
Corbeil-Essonnes;91;51 682;
Draveil;91;29 558;
Évry;91;55 425;
Grigny;91;29 118;
Massy;91;50 549;
Palaiseau;91;34 954;
Ris-Orangis;91;29 040;
Sainte-Geneviève-des-Bois;91;36 219;
Savigny-sur-Orge;91;36 677;
Les Ulis;91;25 031;
Vigneux-sur-Seine;91;31 488;
Viry-Châtillon;91;30 962;
Yerres;91;29 132;
Antony;92;62 989;
Asnières-sur-Seine;92;86 678;
Bagneux;92;39 977;
Bois-Colombes;92;28 607;
Boulogne-Billancourt;92;120 943;
Châtenay-Malabry;92;33 413;
Châtillon;92;37 132;
Clamart;92;53 099;
Clichy;92;60 746;
Colombes;92;86 050;
Courbevoie;92;82 351;
La Garenne-Colombes;92;29 503;
Gennevilliers;92;46 939;
Issy-les-Moulineaux;92;69 231;
Levallois-Perret;92;64 028;
Malakoff;92;30 286;
Meudon;92;46 014;
Montrouge;92;49 372;
Nanterre;92;96 321;
Neuilly-sur-Seine;92;61 501;
Le Plessis-Robinson;92;29 192;
Puteaux;92;44 941;
Rueil-Malmaison;92;79 783;
Saint-Cloud;92;30 797;
Suresnes;92;49 145;
Vanves;92;28 148;
Aubervilliers;93;86 533;
Aulnay-sous-Bois;93;85 214;
Bagnolet;93;36 047;
Le Blanc-Mesnil;93;56 346;
Bobigny;93;52 633;
Bondy;93;53 416;
Clichy-sous-Bois;93;29 978;
La Courneuve;93;42 712;
Drancy;93;70 883;
Épinay-sur-Seine;93;55 754;
Gagny;93;39 391;
Livry-Gargan;93;44 721;
Montfermeil;93;26 262;
Montreuil;93;109 235;
Neuilly-sur-Marne;93;34 859;
Noisy-le-Grand;93;67 086;
Noisy-le-Sec;93;43 693;
Pantin;93;55 585;
Pierrefitte-sur-Seine;93;29 728;
Romainville;93;26 640;
Rosny-sous-Bois;93;45 663;
Saint-Denis;93;112 309;
Saint-Ouen;93;49 949;
Sevran;93;50 888;
Stains;93;39 776;
Tremblay-en-France;93;35 866;
Villemomble;93;30 227;
Villepinte;93;36 809;
Alfortville;94;44 136;
Cachan;94;30 524;
Champigny-sur-Marne;94;77 883;
Charenton-le-Pont;94;30 793;
Choisy-le-Roi;94;44 781;
Créteil;94;90 052;
Fontenay-sous-Bois;94;53 968;
Fresnes;94;27 556;
L' Haÿ-les-Roses;94;31 416;
Ivry-sur-Seine;94;61 099;
Le Kremlin-Bicêtre;94;25 422;
Limeil-Brévannes;94;26 901;
Maisons-Alfort;94;55 816;
Nogent-sur-Marne;94;32 195;
Le Perreux-sur-Marne;94;34 017;
Saint-Maur-des-Fossés;94;75 833;
Sucy-en-Brie;94;26 575;
Thiais;94;29 295;
Villejuif;94;55 805;
Villeneuve-Saint-Georges;94;33 135;
Villiers-sur-Marne;94;29 407;
Vincennes;94;50 300;
Vitry-sur-Seine;94;93 317;
Argenteuil;95;112 064;
Bezons;95;29 216;
Cergy;95;64 451;
Eaubonne;95;25 514;
Ermont;95;29 400;
Franconville;95;36 349;
Garges-lès-Gonesse;95;42 821;
Gonesse;95;26 556;
Goussainville;95;31 167;
Herblay;95;29 614;
Pontoise;95;31 880;
Sannois;95;27 118;
Sarcelles;95;58 332;
Taverny;95;26 541;
Villiers-le-Bel;95;27 519;
Les Abymes;971;54 818;
Baie-Mahault;971;31 338;
Le Gosier;971;27 023;
Fort-de-France;972;82 030;
Le Lamentin;972;40 920;
Cayenne;973;60 947;
Kourou;973;26 726;
Matoury;973;32 768;
Remire-Montjoly;973;26 170;
Saint-Laurent-du-Maroni;973;44 130;
Le Port;974;35 141;
La Possession;974;33 337;
Saint-André;974;56 088;
Saint-Benoît;974;38 466;
Saint-Denis;974;149 337;
Saint-Joseph;974;38 167;
Saint-Leu;974;34 160;
Saint-Louis;974;53 832;
Saint-Paul;974;106 920;
Saint-Pierre;974;85 059;
Sainte-Marie;974;33 587;
Le Tampon;974;78 366;
